OBJECTID,type,crash/near-miss date,crash/near-miss mode,crash/near-miss time of day,mode involved,e-scooter involved,Was anyone injured?,crash cause,crash narrative,nearmiss cause,nearmiss narrative,police,unsafe location mode,unsafe location time of day,unsafe location cause,unsafe location narrative,safe location mode,safe location cause,safe location narrative,mobility device,e-bike,e-scooter,improvement,improvement narrative,address,report date,latitude,longitude,type,coordinates
90,unsafe,,,,,,,,,,,,bike,"day, night",poor-bikelane,"This was a redesigned protected"" bike lane but all it does is create a hazardous no exit strategy pathway for cyclists who  are now forced to face pedestrians walking in the lane, valet blocking the lane, construction blocking the lane, filming blocking the lane, and inevitable large truck parked in the ""barrier lane""  - which hides the cyclist's existence from drivers turning left.  All of that and the biggest offense is they (the city) implemented this dangerous lane by making the beginning and end terminals of this left side lane cross two dangerous intersections in order to go back to the right side of the street. """,,,,,,,,,"Los Angeles Garage Associates, S Spring St, Los Angeles, CA, 90013, USA",4/7/2019,34.04636,-118.25058,LineString,"[[-118.246921999893,34.0502240001643],[-118.25404600032,34.0425960000388]]"
91,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, poor-street, obstacle, driving-speed","Biking east on Upper Bay Rd just east of the intersection with Mad River Rd, the road is in truly terrible condition - lots of potholes, uneven surfaces and gravel that makes it almost impossible to stay to the right-hand side on a bike. Combine that with coming around a blind curve with vehicles coming the other way, and sometimes impatient following vehicles trying to pass, and I have seen many near misses over the years.",,,,,,,,,"2072-3698 Upper Bay Rd, Arcata, CA, 95521, USA",4/11/2019,40.89722794,-124.1038455,LineString,"[[-124.105810999944,40.8977169999472],[-124.10186300039,40.8968080002401]]"
92,unsafe,,,,,,,,,,,,"walk, bike, ride","day, night","no-yield, driving-speed",,,,,,,,,,"701-799 15th St, Eureka, CA, 95501, USA",4/11/2019,40.79422143,-124.1615776,LineString,"[[-124.163767999693,40.8022939999593],[-124.161858999764,40.7941560000151],[-124.161514999808,40.7942049997678],[-124.161923000237,40.7940420001311],[-124.163811000249,40.8021969997154]]"
93,unsafe,,,,,,,,,,,,"walk, bike","day, night",other,It's a pair of large and frequently busy intersections right by the University. They are are designed primarily and poorly for cars.,,,,,,,,,"Sunset Ave, Arcata, CA, 95521, USA",4/11/2019,40.87873157,-124.0822332,LineString,"[[-124.080927000024,40.8786130003328],[-124.083542000307,40.8787669997528]]"
94,unsafe,,,,,,,,,,,,"walk, bike","day, night",poor-bikelane,This is a busy intersection by the University. It is primarily (and poorly) designed for cars. ,,,,,,,,,"US-101 N, Arcata, CA, 95521, USA",4/11/2019,40.87869705,-124.0821723,LineString,"[[-124.083523999866,40.8788400001289],[-124.080762999992,40.878548000179]]"
95,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, driving-speed","This is an arterial connecting parts of town. It has a few lights, but no stop signs making it better for commuters of all modes. There is no bike lane however. I ride squished between fast traffic and parked cars ",,,,,,,,,"1730 I St, Eureka, CA, 95501, USA",4/11/2019,40.79204624,-124.1602669,LineString,"[[-124.162730999801,40.8023209999038],[-124.161622999763,40.7983419997342],[-124.160593000441,40.7941229998004],[-124.160056000141,40.7905120002656],[-124.159898999782,40.78656399987],[-124.159934999767,40.7835960001234],[-124.160142000354,40.7815489998433]]"
96,unsafe,,,,,,,,,,,,"walk, bike","day, night",driving-speed,,,,,,,,,,"2900-2998 Pine St, Eureka, CA, 95501, USA",4/17/2019,40.78051145,-124.1731778,LineString,"[[-124.183123000193,40.78057399984],[-124.163103000245,40.7804440003]]"
97,positive,,,,,,,,,,,,,,,,bike,other,"The edge of the road is wide enough for a bicycle to pull over and keep riding to let car traffic pass. The lane to too narrow to share except in this spot. More bicycle pull outs like these would be helpful to reduce traffic conflicts between slow moving bicycle riding up hills and motor vehicles, when the lane is too narrow to share.",,,,,,"94 Banner Dr, Sonora, CA, 95370, USA",4/22/2019,37.99864064,-120.3892225,LineString,"[[-120.389323999763,37.9980629996619],[-120.389481999946,37.9981179999939],[-120.389613000366,37.9981179999939]]"
98,nearMiss,Apr-19,bike,day,"driver, none",,none,,,"poor-bikelane, curving, vegetation, no-yield, unsafe-speed","This section of Mono Way is missing a shoulder. It disappears unexpectedly and requires bikes to merge with traffic in a lane too narrow to share. On this section of the road, motorist drive far above the posted speed limit of 30 mph and don't expect bicyclists to merge into the general travel lane.",,,,,,,,,,,,,,"2-158 Mono Way, Sonora, CA, 95370, USA",4/22/2019,37.97579954,-120.378169,LineString,"[[-120.376993000131,37.9754110003315],[-120.377615999747,37.9755039997163],[-120.378173999963,37.9757839998555],[-120.379020999885,37.9765699999254]]"
99,unsafe,,,,,,,,,,,,"walk, bike, scooter","day, night","poor-sidewalk, poor-bikelane, poor-street, poor-lighting, obstacle, driving-speed",The Street is too wide and leads to dangerous speeds and car crashes,,,,,,,,,"2244-2498 Cover St, Lakewood, CA, 90712, USA",4/22/2019,33.8276127,-118.1636775,LineString,"[[-118.167442999971,33.8276459998475],[-118.159911999838,33.8276640000174]]"
100,unsafe,,,,,,,,,,,,"walk, bike, scooter","day, night","poor-sidewalk, poor-bikelane, poor-street, poor-lighting, poor-sign, obstacle, no-yield, driving-speed",The street is too wide and leads to speeding and other dangerous conditions.,,,,,,,,,"3601-3799 Industry Ave, Lakewood, CA, 90712, USA",4/22/2019,33.8248916,-118.1655215,LineString,"[[-118.165426000088,33.8276989996319],[-118.165597999617,33.8220840002126]]"
101,unsafe,,,,,,,,,,,,"walk, bike, scooter, transit","day, night","poor-sidewalk, poor-bikelane, poor-street, poor-lighting, poor-sign, obstacle, no-yield, driving-speed",The street is allows for extremely high speeds which create a dangerous environment.,,,,,,,,,"Cherry Ave, Signal Hill, CA, 90755, USA",4/22/2019,33.79931702,-118.167586,LineString,"[[-118.167571999843,33.8276459998475],[-118.167571999843,33.8102470002361],[-118.167615000399,33.7898840000512],[-118.167571999843,33.7709780003664]]"
102,unsafe,,,,,,,,,,,,"walk, bike, scooter, transit, ride","day, night","poor-sidewalk, poor-bikelane, poor-street, poor-lighting, poor-sign, obstacle, no-yield, driving-speed",The road is designed for high speeds. There is no alternative way to get through this area that isn't a dangerously fast road.,,,,,,,,,"2580-2598 Redondo Ave, Long Beach, CA, 90806, USA",4/22/2019,33.80393412,-118.1512981,LineString,"[[-118.151393000216,33.7971589997055],[-118.151307000002,33.81071000003]]"
103,unsafe,,,,,,,,,,,,walk,"day, night",other,Crime area,,,,,,,,,"12989 San Pablo Ave, Richmond, CA, 94805, USA",4/27/2019,37.94884577,-122.3315639,LineString,"[[-122.345122999996,37.9628090000779],[-122.334738000103,37.9548909996739],[-122.327785000278,37.9395950001349],[-122.323235999951,37.9322160002272]]"
104,unsafe,,,,,,,,,,,,,,"poor-lighting, driving-speed",one way poor lighting car speeds my kids cannot play outside not safe,,,,,,,,,"10518 Hickory St, Los Angeles, CA, 90002, USA",5/1/2019,33.94002583,-118.2358698,LineString,"[[-118.235853000284,33.9370420000268],[-118.235854999934,33.9430640002925]]"
105,unsafe,,,,,,,,,,,,walk,"day, night","poor-sign, no-yield, driving-speed",No respetan el stop. Y cruzan muchos nińos en la escuela y viajan muy rapido,,,,,,,,,"160 W 112th St, Los Angeles, CA, 90061, USA",5/1/2019,33.93293552,-118.2760738,LineString,"[[-118.265346999732,33.9328849997039],[-118.279163999694,33.9329340003387],[-118.286842999965,33.9327980001046]]"
106,unsafe,,,,,,,,,,,,walk,night,"poor-lighting, driving-speed",No respetan el limite de velocidad,,,,,,,,,"10368 Bandera St, Los Angeles, CA, 90002, USA",5/1/2019,33.94191811,-118.2396489,LineString,"[[-118.238552000234,33.9531760000554],[-118.238556000432,33.9482150001552],[-118.239093999659,33.9481700003044],[-118.23902900026,33.9294259997124]]"
107,unsafe,,,,,,,,,,,,ride,"day, night",driving-speed,I drove by this street and have  seen people drive extremely fast and run the red right various times on Emil and Clara ,,,,,,,,,"6505 Clara St, Bell Gardens, CA, 90201, USA",5/2/2019,33.96156538,-118.149787,LineString,"[[-118.151629000218,33.9618350000298],[-118.147809999637,33.9614969998791]]"
108,unsafe,,,,,,,,,,,,ride,"day, night","poor-street, obstacle","Not sure if this is part of bell gardens, but there is a huge pothole that has been there over 2 months getting off the exit of the 710 freeway into bell gardens. ",,,,,,,,,"Florence Ave, Bell Gardens, CA, 90201, USA",5/2/2019,33.96803924,-118.1666623,LineString,"[[-118.166166999704,33.9677439998145],[-118.167346999712,33.9667560002183]]"
109,nearMiss,,other,night,other,,none,,,"poor-sign, unsafe-speed","This is a high traffic area. Vehicles are constantly exceeding the speed limit. I have near misses at least once  every two weeks when backing out.  Also, when the street was repaved a few years back they screwed up painting the lane. They sort of fixed, you can tell where the lane was previously painted.  The road needs to repainted. Also,  either a sign letting vehicles to reduce their speeds, speed bumps or a stop at the corner of Ira and Gallant would be helpful. ",,,,,,,,,,,,,,"7800-7898 Ira Ave, Bell Gardens, CA, 90201, USA",5/2/2019,33.9610951,-118.1564782,LineString,"[[-118.156714000122,33.9599850000066],[-118.15637099999,33.9622269999026]]"
110,nearMiss,Jun-18,bike,day,driver,,none,,,"poor-bikelane, other","Two lane, parkign adjacent to curb. no bike lane",,,,,,,,,,,,,,"207-279 22nd St, Costa Mesa, CA, 92627, USA",5/3/2019,33.64789965,-117.9028651,LineString,"[[-117.909463000284,33.6524720003246],[-117.909093000389,33.6523290003524],[-117.908868000258,33.6521590003065],[-117.908626000408,33.6519989999126],[-117.908448999958,33.6518250001093],[-117.908223999827,33.651640999926],[-117.908074000039,33.6515339996264],[-117.907783999611,33.6513419998175],[-117.907402999845,33.6511099999755],[-117.907092000398,33.6509229996508],[-117.906652000182,33.650596999713],[-117.906485999603,33.6504889998192],[-117.905423999596,33.6497790003005],[-117.904822999721,33.6493330000282],[-117.90237700039,33.6476309996674],[-117.901533999768,33.6470509996835],[-117.897043999891,33.6439560000507],[-117.896186000098,33.6445010003159]]"
111,unsafe,,,,,,,,,,,,"walk, bike, scooter","day, night","poor-sidewalk, poor-bikelane, poor-street, poor-lighting, driving-speed",,,,,,,,,,"3147-3199 Hyperion Ave, Los Angeles, CA, 90027, USA",5/3/2019,34.11217862,-118.2676427,LineString,"[[-118.26414199961,34.1151359998269],[-118.264914999912,34.1145139999959],[-118.265119000127,34.1141580001915],[-118.265827000131,34.1131730002904],[-118.26630900018,34.112675000114],[-118.267896999719,34.1120179997416],[-118.268476999677,34.1118580003409],[-118.268992000236,34.1115030001249],[-118.269999999816,34.1106849998239],[-118.270397000375,34.1103210002929],[-118.271352000251,34.1092730001546]]"
112,nearMiss,Apr-19,ride,day,driver,,none,,,,Drivers heading south bound in eastern completely stop at Gotham.  They stop traffic to make a U turn.  There is no left turn lane here.  Traffic screeches to a stop and I see near miss rear ends all the time.  The I see cars make the u turn and cars come around north bound quickly avoiding a crash of the Uturn vehicle,,,,,,,,,,,,,,"Michoacan Tire Shop, 7911 Eastern Ave, Bell Gardens, CA, 90201, USA",5/4/2019,33.96073,-118.16574,LineString,"[[-118.165714999793,33.9611749996679],[-118.165630000302,33.96064900026]]"
113,unsafe,,,,,,,,,,,,"walk, bike",night,"poor-street, poor-lighting, poor-sign, driving-speed","in the unincorporated area, the roads aren't well maintained",,,,,,,,,"1901-1929 Howe Dr, San Leandro, CA, 94578, USA",5/5/2019,37.71535237,-122.1304448,LineString,"[[-122.132195000316,37.7178650000797],[-122.130792999652,37.7152979997351],[-122.130160999816,37.7153289998806],[-122.126598000226,37.7149190001627]]"
114,unsafe,,,,,,,,,,,,walk,night,"no-yield, driving-speed","I witnessed a biker being hit by a car on Mission Blvd while using the crosswalk, unsafe speeding",,,,,,,,,"Mission Blvd, Hayward, CA, 94544, USA",5/5/2019,37.64497283,-122.0621494,LineString,"[[-122.092571000345,37.6785890001368],[-122.087002999669,37.674586999805],[-122.080808999902,37.6685259997128],[-122.073806999673,37.6601170000653],[-122.066181999829,37.6500060000012],[-122.055877000302,37.6371439997474],[-122.043693999909,37.6265720001859],[-122.028374999725,37.6132920001591]]"
115,positive,,,,,,,,,,,,,,,,bike,"safe-speed, car-traffic, good-lighting","two lane road so without bike lane biker has to take a lane, but it is easy and safe to do here because traffic can use other lane",,,,,,"1530 Webster St, Fairfield, CA, 94533, USA",5/5/2019,38.25646137,-122.0471104,LineString,"[[-122.047310000101,38.2581519997694],[-122.047342999713,38.2572610002656],[-122.047142999696,38.2564419998911],[-122.0464720004,38.2556440001429],[-122.045456000423,38.2545139999241]]"
116,unsafe,,,,,,,,,,,,bike,"day, night","no-yield, driving-speed","No separate bikelane, car speed too fast, bowed surface of road",,,,,,,,,"1031-1099 W Texas St, Fairfield, CA, 94533, USA",5/5/2019,38.24918405,-122.0470017,LineString,"[[-122.037927999765,38.2491609999],[-122.049768000025,38.2492210001282],[-122.056058999876,38.2492859999667]]"
117,unsafe,,,,,,,,,,,,walk,"day, night",poor-sidewalk,gaps in the sidewalk on West side,,,,,,,,,"926 Mt Vernon Ave, Bakersfield, CA, 93307, USA",5/7/2019,35.36682241,-118.9676262,LineString,"[[-118.967641000027,35.3685229998545],[-118.967616999738,35.3649939999053]]"
118,unsafe,,,,,,,,,,,,walk,"day, night",poor-sidewalk,gaps in the sidewalk on North side,,,,,,,,,"2112 Potomac Ave, Bakersfield, CA, 93307, USA",5/7/2019,35.36496248,-118.9711919,LineString,"[[-118.967652999723,35.3650030001315],[-118.974589999654,35.3649449997143]]"
119,unsafe,,,,,,,,,,,,"walk, bike, scooter, ride",day,"no-yield, driving-speed","During after school pick up, many people speed and do u turns in front of the school",,,,,,,,,"2161 Potomac Ave, Bakersfield, CA, 93307, USA",5/7/2019,35.36490547,-118.9694697,LineString,"[[-118.967645000225,35.3649049997307],[-118.970433999688,35.3649049997307]]"
120,unsafe,,,,,,,,,,,,scooter,day,"driving-speed, other","Many kids were scootering on this street and not wearing helmets, vehicles were also driving fast",,,,,,,,,"2112 Potomac Ave, Bakersfield, CA, 93307, USA",5/7/2019,35.36496248,-118.9711919,LineString,"[[-118.967651000073,35.3649860003545],[-118.974623999989,35.3649380001032]]"
121,unsafe,,,,,,,,,,,,walk,"day, night",poor-sign,there are no speed limit signs or school zone signs along Potomac,,,,,,,,,"2103 Potomac Ave, Bakersfield, CA, 93307, USA",5/7/2019,35.36490653,-118.97109,LineString,"[[-118.974612000294,35.3648499998124],[-118.967639000377,35.3648990000611]]"
122,positive,,,,,,,,,,,,,,,,bike,good-bikelane,"I used to bike on 40th from 2006 - 2013.  It was unsafe. Although there was technically a bike lane there, I had many cars actively try to run me off the road, and even threaten to hit me verbally.  The painted green bike lane markers have made a HUGE difference.  It feels like a safe place to bike now.  Such a difference.  Thank you. ",,,,,,"CA-24 W, Oakland, CA, 94609, USA",5/9/2019,37.82862528,-122.2674225,LineString,"[[-122.254572000093,37.8259890001406],[-122.280020999903,37.8312089998577]]"
123,unsafe,,,,,,,,,,,,bike,"day, night",poor-street,bike path pave it ASAP,,,,,,,,,"1601-1617 Milvia St, Berkeley, CA, 94709, USA",5/10/2019,37.87766026,-122.2713065,LineString,"[[-122.271831999994,37.8817120002327],[-122.270906000429,37.8735959998545]]"
124,unsafe,,,,,,,,,,,,bike,"day, night",poor-street,Milvia is a bike blvd the paving sicks in this section,,,,,,,,,"2626-2698 Milvia St, Berkeley, CA, 94704, USA",5/10/2019,37.8600246,-122.2694978,LineString,"[[-122.26903400031,37.8564629997653],[-122.269861999966,37.8636090001513]]"
125,unsafe,,,,,,,,,,,,bike,"day, night",poor-street,repave Derby,,,,,,,,,"2000-2098 Derby St, Berkeley, CA, 94704, USA",5/10/2019,37.8601112,-122.2682757,LineString,"[[-122.267156000344,37.8603419999604],[-122.269420999925,37.8599769997927]]"
126,unsafe,,,,,,,,,,,,"walk, bike","day, night","poor-sign, other","We had been asking for a bike activated traffic light at that corner for years and instead of a normal, understandable traffic light, the City of Berkeley installed a hybrid"" traffic light that nobody understands which makes the intersection even more dangerous than before. Please replace ""hybrid"" traffic light with a normal bike activated traffic light!! the new ""hybrid"" traffic light is dangerous for everyone: bicyclists, pedestrians, and drivers""",,,,,,,,,"Hillegass Ave & Ashby Ave, Berkeley, CA, 94705, USA",5/10/2019,37.856727,-122.255505,LineString,"[[-122.267156000344,37.8603419999604],[-122.269420999925,37.8599769997927]]"
